index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
21,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,manual,First Owner,25.5,1498.0,98.6,5.0,8,37254.901960784315
22,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,manual,First Owner,26.59,1248.0,74.0,5.0,10,19744.264761188417
23,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,manual,First Owner,21.5,1248.0,88.8,5.0,13,27906.976744186046
24,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,manual,First Owner,20.3,1199.0,83.81,5.0,7,24630.54187192118
25,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,manual,First Owner,21.4,1197.0,83.1,5.0,9,26869.158878504673
26,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,manual,First Owner,24.7,796.0,47.3,5.0,8,11133.603238866397
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,manual,First Owner,18.2,1248.0,73.8,7.0,12,16483.516483516483
28,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,manual,First Owner,18.9,1061.0,67.0,5.0,16,11640.21164021164
29,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,manual,First Owner,16.8,796.0,34.2,8.0,7,15178.511904761905
30,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,manual,First Owner,24.3,1248.0,88.5,5.0,8,27572.01646090535
31,Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,manual,Second Owner,19.41878335651954,,,,22,3604.757245334767
32,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,manual,Second Owner,14.0,796.0,35.0,5.0,13,10714.285714285714
33,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,manual,First Owner,18.6,1197.0,81.83,5.0,7,39247.31182795699
34,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,manual,First Owner,24.3,1248.0,88.5,5.0,8,26748.971193415637
35,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,manual,Second Owner,33.44,796.0,40.3,4.0,6,9868.42105263158
36,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,manual,First Owner,23.95,998.0,67.1,5.0,6,15281.837160751566
37,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,manual,First Owner,17.0,1591.0,121.3,5.0,6,67588.23529411765
38,Datsun GO D,2016,150000,42000,Petrol,Individual,manual,First Owner,20.63,1198.0,67.0,5.0,9,7270.964614638876
39,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,manual,Second Owner,13.93,2179.0,138.03,7.0,14,30509.691313711413
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,manual,First Owner,16.1,796.0,37.0,4.0,13,9316.770186335403
41,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,automatic,First Owner,16.0,1368.0,160.77,5.0,6,131250.0
42,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,manual,First Owner,17.8,1497.0,117.3,5.0,7,51966.292134831456
43,Honda City V MT,2013,425000,86300,Petrol,Dealer,manual,First Owner,16.8,1497.0,116.3,5.0,12,25297.619047619046
44,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,automatic,First Owner,18.5,1197.0,83.14,5.0,7,36486.48648648649
45,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,manual,First Owner,24.3,1248.0,88.5,5.0,7,33744.81481481481
46,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,manual,First Owner,23.95,998.0,67.05,5.0,7,16283.9248434238
47,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,manual,First Owner,12.55,2982.0,168.5,7.0,11,119521.9123505976
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,manual,First Owner,12.99,2494.0,100.0,7.0,12,53887.60585065435
49,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,automatic,Second Owner,14.8,2143.0,120.7,5.0,11,97972.97297297297
50,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,manual,First Owner,24.7,1498.0,98.63,5.0,10,17206.477732793523
51,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,manual,First Owner,13.5,2477.0,175.56,7.0,12,80740.74074074074
52,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,manual,First Owner,26.0,1498.0,98.6,5.0,10,23076.923076923078
53,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,manual,First Owner,20.65,1462.0,103.25,5.0,7,41162.22760290557
54,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,manual,First Owner,27.3,1498.0,98.6,5.0,10,19230.76923076923
55,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,automatic,Second Owner,11.36,2755.0,171.5,7.0,9,145246.47887323945
56,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,manual,First Owner,12.99,2494.0,100.6,7.0,9,73133.17936874519
57,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,automatic,Second Owner,17.68,1968.0,174.33,5.0,12,98981.90045248868
58,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,automatic,First Owner,14.28,1798.0,138.03,5.0,7,111344.53781512605
59,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,automatic,First Owner,18.53,1968.0,187.74,5.0,12,91203.39989206691
60,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,automatic,First Owner,14.84,2143.0,170.0,5.0,12,96024.25876010781
61,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,manual,First Owner,21.12,1248.0,88.8,5.0,14,12547.348484848484
62,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,manual,Third Owner,20.36,1197.0,78.9,5.0,14,9332.023575638506
63,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,manual,First Owner,21.27,1396.0,88.76,5.0,12,19981.19417019276
64,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,manual,Second Owner,26.59,1248.0,74.0,5.0,10,23693.1177134261
65,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,manual,Third Owner,18.16,1196.0,86.8,5.0,8,33039.64757709251
66,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,manual,First Owner,21.4,1197.0,83.1,5.0,6,30373.831775700935
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,manual,First Owner,22.0,1498.0,108.495,5.0,9,24545.454545454544
68,Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,manual,First Owner,25.1,1498.0,98.6,5.0,10,25099.601593625495
69,Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,automatic,First Owner,20.51,998.0,67.0,5.0,7,21843.003412969283
70,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,manual,First Owner,21.66,1498.0,108.62,5.0,8,23084.025854108957
71,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,manual,First Owner,24.3,1248.0,88.5,5.0,9,30658.43621399177
72,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,automatic,First Owner,24.3,1248.0,88.5,5.0,6,42181.06995884774
73,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,manual,Second Owner,20.36,1197.0,78.9,5.0,14,11542.239685658153
74,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,manual,First Owner,25.2,1248.0,74.0,5.0,9,25000.0
75,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,manual,Second Owner,12.55,2982.0,168.5,7.0,10,135458.16733067727
76,Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,manual,Second Owner,22.9,1248.0,74.0,5.0,12,19650.655021834064
77,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,manual,Second Owner,16.02,1373.0,93.7,7.0,13,28089.88764044944
78,Tata Indica DLS,2003,50000,70000,Diesel,Individual,manual,First Owner,19.41878335651954,,,,22,2574.826603810548
79,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,manual,First Owner,20.54,1598.0,103.6,5.0,12,21908.471275559885
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,manual,First Owner,12.99,2494.0,100.6,8.0,9,92378.75288683602
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,manual,First Owner,22.77,1498.0,98.59,5.0,10,26789.63548528766
82,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,automatic,Second Owner,15.71,1998.0,189.0,5.0,9,159134.30935709737
83,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,manual,First Owner,23.1,998.0,67.04,5.0,8,20995.627705627703
84,Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,manual,First Owner,19.02,1198.0,67.05,5.0,9,14458.464773922187
85,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,manual,First Owner,24.7,796.0,47.3,5.0,9,12753.036437246963
86,Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,manual,First Owner,24.7,796.0,47.3,5.0,9,11133.603238866397
87,Maruti Swift VDI BSIV W ABS,2015,475000,78000,Diesel,Dealer,manual,First Owner,19.41878335651954,,,,10,24460.852736200206
88,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,manual,First Owner,19.81,1086.0,68.05,5.0,13,14639.071176173651
89,Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,manual,First Owner,14.0,796.0,35.0,5.0,8,20000.0
90,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,manual,First Owner,26.2,998.0,58.2,5.0,15,8587.786259541985
91,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,manual,First Owner,16.47,1198.0,74.0,5.0,10,27625.98664238009
92,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,manual,Second Owner,19.81,1086.0,68.05,5.0,10,17718.324078748108
93,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,manual,Second Owner,15.04,1598.0,103.6,5.0,13,35571.8085106383
94,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,manual,First Owner,18.2,998.0,67.1,5.0,16,9615.384615384615
95,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,manual,First Owner,18.5,1197.0,82.85,5.0,12,28378.37837837838
96,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,manual,First Owner,26.59,1248.0,74.0,5.0,9,22564.87401278676
97,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,automatic,First Owner,19.1,1197.0,82.0,5.0,9,29581.15183246073
98,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,manual,Third Owner,19.7,796.0,46.3,5.0,17,6091.370558375635
99,Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,manual,First Owner,22.54,1396.0,88.73,5.0,8,32165.039929015085
100,Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,manual,Second Owner,21.79,998.0,67.05,5.0,16,8490.13308857274
101,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,manual,Second Owner,18.8,1248.0,90.0,5.0,15,10638.297872340425
102,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,manual,First Owner,21.21,1197.0,81.8,5.0,6,28995.756718528995
103,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,manual,Third Owner,15.37,1196.0,73.0,7.0,9,17566.68835393624
104,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,manual,First Owner,21.4,1197.0,83.1,5.0,7,28504.672897196262
105,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,automatic,Second Owner,11.79,2179.0,120.0,8.0,11,53011.02629346905
106,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,manual,Second Owner,19.0,1194.0,94.68,5.0,5,21052.63157894737
107,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,manual,First Owner,17.0,1591.0,121.3,5.0,8,50941.17647058824
108,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,manual,First Owner,14.3,1798.0,160.0,5.0,15,48951.04895104895
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,manual,First Owner,15.8,1172.0,65.0,5.0,15,18987.341772151896
110,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,manual,First Owner,15.1,2179.0,155.0,7.0,6,112582.78145695364
111,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,manual,First Owner,19.09,1405.0,69.01,5.0,9,19643.792561550552
112,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,manual,Second Owner,22.32,1582.0,126.32,5.0,12,23387.09677419355
113,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,manual,First Owner,21.9,1396.0,88.76,5.0,12,20639.223744292238
114,Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,manual,Second Owner,14.53,1798.0,138.1,5.0,16,20646.937370956643
115,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,manual,First Owner,21.63,998.0,67.04,5.0,5,21960.24040684235
116,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,manual,First Owner,24.3,1248.0,88.5,5.0,9,32098.765432098764
117,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,manual,First Owner,20.85,1197.0,83.14,5.0,8,28537.17026378897
118,Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,manual,First Owner,20.51,998.0,67.04,5.0,8,21452.94978059483
119,Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,manual,Second Owner,19.41878335651954,,,,15,15448.959622863287
120,Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,manual,Third Owner,20.45,1461.0,83.8,5.0,11,19559.902200489
121,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,manual,First Owner,19.67,1582.0,126.2,5.0,9,57956.27859684799
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,manual,First Owner,23.0,1498.0,98.96,5.0,8,36956.52173913043
123,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,13,19170.984455958547
124,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,manual,First Owner,23.01,999.0,67.0,5.0,7,15210.777922642328
125,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,manual,Second Owner,23.1,998.0,67.04,5.0,10,15584.415584415583
126,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,17,5329.949238578681
127,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,manual,Second Owner,20.77,1248.0,88.76,7.0,12,30091.478093403948
128,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,manual,Second Owner,17.92,1086.0,62.1,5.0,16,7533.482142857142
129,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,manual,Second Owner,20.77,1248.0,88.76,7.0,10,33702.45546461242
130,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,manual,First Owner,17.8,1198.0,86.7,5.0,6,38764.04494382023
131,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,automatic,First Owner,17.01,1968.0,188.0,5.0,7,233686.06701940033
133,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,automatic,First Owner,19.33,1999.0,177.0,5.0,8,165545.78375581998
134,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,automatic,First Owner,9.5,3604.0,280.0,5.0,8,431578.94736842107
135,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,automatic,First Owner,12.83,1999.0,148.31,7.0,6,350740.45206547156
137,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,automatic,First Owner,22.48,1995.0,187.74,5.0,7,168594.30604982207
138,BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,automatic,First Owner,19.41878335651954,,,,8,110717.54396385356
140,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,automatic,First Owner,14.67,1798.0,177.46,5.0,7,127130.1295160191
141,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,automatic,First Owner,15.0,2143.0,204.0,5.0,9,180000.0
142,MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,automatic,First Owner,13.96,1451.0,141.0,5.0,6,125358.16618911174
143,Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,automatic,First Owner,18.0,1497.0,117.6,5.0,8,44166.666666666664
144,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,automatic,First Owner,14.28,1798.0,138.03,5.0,12,43767.507002801125
145,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,automatic,First Owner,18.0,1969.0,190.0,5.0,7,188888.88888888888
146,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,automatic,First Owner,12.07,2967.0,241.4,7.0,10,219552.6097763049
147,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,manual,First Owner,26.21,1248.0,88.5,5.0,10,20412.05646699733
149,BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,automatic,Second Owner,10.8,2497.0,150.0,5.0,15,90277.77777777777
150,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,manual,First Owner,16.3,1797.0,147.5,5.0,9,49386.503067484664
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,automatic,First Owner,13.6,1999.0,177.0,5.0,8,193014.70588235295
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,manual,First Owner,17.0,1198.0,108.5,5.0,7,47705.882352941175
153,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,manual,First Owner,15.04,1598.0,103.6,5.0,14,24933.510638297874
154,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,manual,First Owner,16.3,1797.0,147.5,5.0,13,33742.33128834356
155,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,automatic,First Owner,14.3,1598.0,103.5,5.0,9,45104.895104895106
156,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,automatic,First Owner,15.04,1991.0,183.0,5.0,7,169547.87234042553
157,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,manual,First Owner,16.02,1373.0,93.7,7.0,11,37390.76154806492
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,automatic,First Owner,14.74,1991.0,181.04,5.0,8,183175.0339213026
159,Honda City V AT,2017,875000,18000,Petrol,Dealer,automatic,First Owner,15.6,1497.0,116.3,5.0,8,56089.74358974359
160,Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,automatic,First Owner,19.56,1197.0,81.8,5.0,6,45756.595092024545
161,Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,manual,First Owner,23.95,998.0,67.05,5.0,14,7306.889352818372
162,Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,manual,First Owner,21.21,1197.0,81.8,5.0,13,16030.17444601603
163,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,automatic,Second Owner,11.36,2755.0,171.5,7.0,9,134242.95774647887
164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,automatic,First Owner,21.5,1497.0,108.5,5.0,7,47674.41860465116
165,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,automatic,First Owner,22.69,1995.0,190.0,5.0,9,94755.39885412075
166,Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,automatic,First Owner,19.16,2494.0,157.7,5.0,9,99164.92693110647
167,BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,automatic,First Owner,18.12,1995.0,190.0,5.0,9,160044.15011037528
168,Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,automatic,First Owner,12.1,2362.0,164.7,5.0,16,37190.0826446281
169,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,manual,First Owner,17.5,1373.0,91.1,7.0,9,48571.42857142857
171,Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,manual,Second Owner,20.54,1598.0,103.6,5.0,14,14605.647517039923
172,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,manual,First Owner,18.16,1196.0,86.8,5.0,7,31662.995594713655
173,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,manual,First Owner,20.0,1399.0,68.0,5.0,14,8000.0
174,Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,manual,First Owner,20.4,1197.0,81.8,5.0,10,25245.09803921569
175,Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,automatic,Second Owner,20.51,998.0,67.0,5.0,10,19015.11457825451
176,Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,manual,Second Owner,18.6,1197.0,81.83,5.0,9,29569.892473118278
177,Maruti 800 Std,1999,40000,40000,Petrol,Individual,manual,Second Owner,16.1,796.0,37.0,4.0,26,2484.4720496894406
178,Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,manual,First Owner,21.1,1248.0,73.9,5.0,15,10426.54028436019
179,Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,manual,First Owner,18.9,1197.0,82.0,5.0,10,22486.77248677249
180,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,manual,First Owner,19.44,999.0,75.0,5.0,6,24691.358024691355
181,Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,manual,Second Owner,18.9,1197.0,82.0,5.0,11,21164.021164021167
182,Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,manual,First Owner,19.1,1197.0,85.8,5.0,11,25497.382198952877
183,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,manual,Second Owner,19.1,1197.0,82.0,5.0,9,20209.42408376963
184,Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,manual,Second Owner,13.0,1493.0,100.0,5.0,20,7692.307692307692
185,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,manual,First Owner,21.43,1364.0,87.2,5.0,15,13999.066728884742
186,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,manual,First Owner,18.5,796.0,53.0,5.0,25,5405.405405405405
187,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,manual,Second Owner,13.0,2982.0,168.5,7.0,11,134615.38461538462
188,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,manual,Second Owner,18.15,1198.0,82.0,6.0,9,24793.388429752067
189,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,manual,First Owner,22.95,1248.0,74.0,5.0,8,21350.762527233117
190,Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,manual,Second Owner,17.0,1497.0,118.0,5.0,16,20294.117647058825
191,Maruti Zen LXI,2005,85000,90000,Petrol,Individual,manual,First Owner,17.3,993.0,60.0,5.0,20,4913.294797687861
192,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Individual,manual,Second Owner,18.9,998.0,67.1,5.0,15,11375.661375661377
193,Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Individual,manual,Third Owner,16.2,1599.0,103.2,5.0,15,19753.086419753086
